ID,acc,Confidence,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_2,1,-2,0.80906744392496,0,0.80906744392496,DE,F,D,2,Premise,0,4
Participant_2,1,-2,0.801745239207094,0,0.801745239207094,EF,F,D,2,Premise,0,4
Participant_2,0.5,-2,0.590097653343491,0.782453700615406,0.397741606071577,BD,F,D,2,Inference,1,4
Participant_2,1,-2,1.05516669831127,0,1.05516669831127,CE,F,D,2,Inference,1,4
Participant_2,1,-2,1.03503871752378,0,1.03503871752378,BE,F,D,2,Inference,2,4
Participant_2,0,0,0.660550461069306,0.660550461069306,0,AF,F,D,2,Anchor,3,4
Participant_2,1,-2,1.89277478152439,0,1.89277478152439,AB,S,U,2,Premise,0,4
Participant_2,0.5,-0.5,1.23894151575632,0.787076198344494,1.69080683316815,BC,S,U,2,Premise,0,4
Participant_2,0,-0.5,1.38412709816134,1.38412709816134,0,CD,S,U,2,Premise,0,4
Participant_2,1,2,2.34758047548917,0,2.34758047548917,DE,S,U,2,Premise,0,4
Participant_2,0,2,1.90370241131382,1.90370241131382,0,EF,S,U,2,Premise,0,4
Participant_2,0,-1.5,2.2464212589739,2.2464212589739,0,BD,S,U,2,Inference,1,4
Participant_2,0,-2,1.8155460222813,1.8155460222813,0,CE,S,U,2,Inference,1,4
Participant_2,0,-1.5,2.82338523038084,2.82338523038084,0,BE,S,U,2,Inference,2,4
Participant_2,0.5,0,2.33866287274282,3.8079508192518,0.869374926233832,AF,S,U,2,Anchor,3,4
Participant_2,1,0,0.990500992954367,0,0.990500992954367,AB,O,C,2,Premise,0,4
Participant_2,1,2,1.20154921410358,0,1.20154921410358,BC,O,C,2,Premise,0,4
Participant_2,1,2,1.52428709980359,0,1.52428709980359,CD,O,C,2,Premise,0,4
Participant_2,1,2,1.59407614189763,0,1.59407614189763,DE,O,C,2,Premise,0,4
Participant_2,0,2,1.35494758124514,1.35494758124514,0,EF,O,C,2,Premise,0,4
Participant_2,0,0,2.46354420571333,2.46354420571333,0,BD,O,C,2,Inference,1,4
Participant_2,0,2,1.14770953390143,1.14770953390143,0,CE,O,C,2,Inference,1,4
Participant_2,1,0.5,2.0860819610723,0,2.0860819610723,BE,O,C,2,Inference,2,4
Participant_2,1,2,1.66165810553548,0,1.66165810553548,AF,O,C,2,Anchor,3,4
Participant_3,1,2,1.74810659344007,0,1.74810659344007,AB,O,D,2,Premise,0,1
Participant_3,1,2,3.21261859354274,0,3.21261859354274,BC,O,D,2,Premise,0,1
Participant_3,1,2,1.96879460039486,0,1.96879460039486,CD,O,D,2,Premise,0,1
Participant_3,1,2,1.32459591982069,0,1.32459591982069,DE,O,D,2,Premise,0,1
Participant_3,1,2,1.04427454836207,0,1.04427454836207,EF,O,D,2,Premise,0,1
Participant_3,1,2,2.67151926448344,0,2.67151926448344,BD,O,D,2,Inference,1,1
Participant_3,1,2,1.20779176617964,0,1.20779176617964,CE,O,D,2,Inference,1,1
Participant_3,1,2,1.44528392677557,0,1.44528392677557,BE,O,D,2,Inference,2,1
Participant_3,1,2,1.90320473235352,0,1.90320473235352,AF,O,D,2,Anchor,3,1
Participant_3,1,2,4.01933586012092,0,4.01933586012092,AB,F,U,2,Premise,0,1
Participant_3,1,0,3.73861269414044,0,3.73861269414044,BC,F,U,2,Premise,0,1
Participant_3,1,1.5,3.72540143362846,0,3.72540143362846,CD,F,U,2,Premise,0,1
Participant_3,1,2,4.26924258925692,0,4.26924258925692,DE,F,U,2,Premise,0,1
Participant_3,1,2,1.72351532513267,0,1.72351532513267,EF,F,U,2,Premise,0,1
Participant_3,0,-0.5,4.21482292971564,4.21482292971564,0,BD,F,U,2,Inference,1,1
Participant_3,0,-2,7.1117747448485,7.1117747448485,0,CE,F,U,2,Inference,1,1
Participant_3,0,0.5,3.2730223449081,3.2730223449081,0,BE,F,U,2,Inference,2,1
Participant_3,0,1.5,5.48105342343365,5.48105342343365,0,AF,F,U,2,Anchor,3,1
Participant_3,1,2,1.61963291539223,0,1.61963291539223,AB,S,C,2,Premise,0,1
Participant_3,1,2,4.94308215695492,0,4.94308215695492,BC,S,C,2,Premise,0,1
Participant_3,1,2,1.97376161474881,0,1.97376161474881,CD,S,C,2,Premise,0,1
Participant_3,1,2,1.96764776173973,0,1.96764776173973,DE,S,C,2,Premise,0,1
Participant_3,1,2,1.08367655621191,0,1.08367655621191,EF,S,C,2,Premise,0,1
Participant_3,0.5,0,4.82420583428097,2.43432143240943,7.21409023615251,BD,S,C,2,Inference,1,1
Participant_3,1,0,3.46721725615237,0,3.46721725615237,CE,S,C,2,Inference,1,1
Participant_3,1,1.5,3.85464245099467,0,3.85464245099467,BE,S,C,2,Inference,2,1
Participant_3,1,2,2.39716209561914,0,2.39716209561914,AF,S,C,2,Anchor,3,1
Participant_3,1,2,2.81106386527927,0,2.81106386527927,AB,O,D,2,Premise,0,2
Participant_3,1,2,2.4530235639254,0,2.4530235639254,BC,O,D,2,Premise,0,2
Participant_3,1,2,1.85242432067844,0,1.85242432067844,CD,O,D,2,Premise,0,2
Participant_3,1,2,1.11113716671503,0,1.11113716671503,DE,O,D,2,Premise,0,2
Participant_3,1,2,0.978420185643699,0,0.978420185643699,EF,O,D,2,Premise,0,2
Participant_3,1,2,2.90902457763445,0,2.90902457763445,BD,O,D,2,Inference,1,2
Participant_3,1,2,2.0780254485901,0,2.0780254485901,CE,O,D,2,Inference,1,2
Participant_3,1,2,2.02558428622547,0,2.02558428622547,BE,O,D,2,Inference,2,2
Participant_3,1,2,1.13021414605441,0,1.13021414605441,AF,O,D,2,Anchor,3,2
Participant_3,1,2,4.32948321685853,0,4.32948321685853,AB,F,U,2,Premise,0,2
Participant_3,0.5,-1.5,10.6424208400636,14.263672802922,7.02116887720513,BC,F,U,2,Premise,0,2
Participant_3,1,2,5.71730362994481,0,5.71730362994481,CD,F,U,2,Premise,0,2
Participant_3,1,2,1.68279709938042,0,1.68279709938042,DE,F,U,2,Premise,0,2
Participant_3,1,0.5,2.20852943205,0,2.20852943205,EF,F,U,2,Premise,0,2
Participant_3,0,1,2.06735471639399,2.06735471639399,0,BD,F,U,2,Inference,1,2
Participant_3,1,2,6.01081428752445,0,6.01081428752445,CE,F,U,2,Inference,1,2
Participant_3,0,0.5,5.5545972190364,5.5545972190364,0,BE,F,U,2,Inference,2,2
Participant_3,0,-1,4.44447023272005,4.44447023272005,0,AF,F,U,2,Anchor,3,2
Participant_3,1,2,3.25713983251353,0,3.25713983251353,AB,S,C,2,Premise,0,2
Participant_3,1,2,3.19660808433014,0,3.19660808433014,BC,S,C,2,Premise,0,2
Participant_3,1,2,1.43531284635719,0,1.43531284635719,CD,S,C,2,Premise,0,2
Participant_3,1,2,1.87179193940824,0,1.87179193940824,DE,S,C,2,Premise,0,2
Participant_3,1,2,1.58076166126398,0,1.58076166126398,EF,S,C,2,Premise,0,2
Participant_3,1,-1,3.99376649081819,0,3.99376649081819,BD,S,C,2,Inference,1,2
Participant_3,1,1,4.18464727894479,0,4.18464727894479,CE,S,C,2,Inference,1,2
Participant_3,1,2,2.0673906453253,0,2.0673906453253,BE,S,C,2,Inference,2,2
Participant_3,1,2,1.49548979634392,0,1.49548979634392,AF,S,C,2,Anchor,3,2
Participant_3,1,2,1.76607410662882,0,1.76607410662882,AB,O,D,2,Premise,0,3
Participant_3,0.5,1,2.32111289864656,3.52116358410331,1.12106221318982,BC,O,D,2,Premise,0,3
Participant_3,1,2,1.63201700849936,0,1.63201700849936,CD,O,D,2,Premise,0,3
Participant_3,1,2,2.48854059568248,0,2.48854059568248,DE,O,D,2,Premise,0,3
Participant_3,1,2,1.32382553295929,0,1.32382553295929,EF,O,D,2,Premise,0,3
Participant_3,1,2,1.55765791487079,0,1.55765791487079,BD,O,D,2,Inference,1,3
